ticker,Volume || weight,Units/ship,Ask Katoa,Bid Katoa,Ask Prom,Bid Prom,Ask Montem,Bid Montem,,Kat -> Prom,Kat -> Montem,Prom -> Kat,Prom -> Montem,Montem -> Kat,Montem -> Prom,,Best route,Max sales/ship,Investment
LDE,1.0,400,-1,-1,6200.0,5010.0,6400.0,5000.0,,-1,-1,-1,-1200.0,-1,-1390.0,,Mont -> Kat,-400.0,2560000.0
RDE,1.0,400,-1,-1,20000.0,16500.0,-1,-1,,-1,-1,-1,-1,-1,-1,,Mont -> Kat,-400.0,-400.0
RBH,1.0,400,-1,-1,17500.0,14000.0,14400.0,-1,,-1,-1,-1,-1,-1,-400.0,,Mont -> Kat,-400.0,5760000.0
BTA,1.0,400,-1,-1,1249.0,975.0,1395.71,1000.02,,-1,-1,-1,-248.98000000000002,-1,-420.71000000000004,,Mont -> Kat,-400.0,558284.0
ATA,1.0,400,-1,-1,-1,10420.0,-1,-1,,-1,-1,-1,-1,-1,-1,,Mont -> Kat,-400.0,-400.0
LTA,1.0,400,-1,-1,2749.0,2620.0,3199.9,1600.0,,-1,-1,-1,-1149.0,-1,-579.9000000000001,,Mont -> Kat,-400.0,1279960.0
ABH,1.0,400,-1,-1,15000.0,1500.0,-1,-1,,-1,-1,-1,-1,-1,-1,,Mont -> Kat,-400.0,-400.0
HSE,1.0,400,-1,-1,15000.0,11500.0,20000.0,12000.0,,-1,-1,-1,-3000.0,-1,-8500.0,,Mont -> Kat,-400.0,8000000.0
RTA,1.0,400,-1,-1,12000.0,10000.0,12000.0,9250.0,,-1,-1,-1,-2750.0,-1,-2000.0,,Mont -> Kat,-400.0,4800000.0
BSE,1.0,400,-1,-1,1393.0,1212.0,1224.88,1155.01,,-1,-1,-1,-237.99,-1,-12.88000000000011,,Mont -> Kat,-400.0,489952.0
RSE,1.0,400,-1,-1,22000.0,20000.0,-1,20000.0,,-1,-1,-1,-2000.0,-1,-1,,Mont -> Kat,-400.0,-400.0
BDE,1.0,400,-1,-1,1844.0,1240.0,1999.99,1300.01,,-1,-1,-1,-543.99,-1,-759.99,,Mont -> Kat,-400.0,799996.0
ASE,1.0,400,-1,-1,-1,18000.0,-1,-1,,-1,-1,-1,-1,-1,-1,,Mont -> Kat,-400.0,-400.0
BBH,1.0,400,-1,-1,1770.0,1455.0,1769.0,1500.0,,-1,-1,-1,-270.0,-1,-314.0,,Mont -> Kat,-400.0,707600.0
ADE,1.0,400,-1,-1,18000.0,850.0,-1,-1,,-1,-1,-1,-1,-1,-1,,Mont -> Kat,-400.0,-400.0
LSE,1.0,400,-1,-1,6500.0,6000.0,6720.0,4605.0,,-1,-1,-1,-1895.0,-1,-720.0,,Mont -> Kat,-400.0,2688000.0
LBH,1.0,400,-1,-1,3250.0,2201.0,3200.0,2410.0,,-1,-1,-1,-840.0,-1,-999.0,,Mont -> Kat,-400.0,1280000.0
